timestamp_utc,relpath,mask_path,n_objects,total_cloud_frac,largest_area_px,largest_area_frac,largest_centroid_x,largest_centroid_y
,data/raw/2026-01-31/master/frames/himawari_20260131T064000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T064000Z_mask.png,0,0.00201416015625,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T065000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T065000Z_mask.png,0,0.001251220703125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T070000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T070000Z_mask.png,0,0.0007171630859375,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T071000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T071000Z_mask.png,0,0.00067138671875,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T072000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T072000Z_mask.png,0,0.000640869140625,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T073000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T073000Z_mask.png,0,0.000457763671875,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T074000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T074000Z_mask.png,0,0.000274658203125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T075000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T075000Z_mask.png,0,0.0001373291015625,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T080000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T080000Z_mask.png,0,0.000274658203125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T081000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T081000Z_mask.png,0,0.0003814697265625,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T082000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T082000Z_mask.png,0,0.0002593994140625,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T083000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T083000Z_mask.png,0,0.000396728515625,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T084000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T084000Z_mask.png,0,0.00048828125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T085000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T085000Z_mask.png,0,0.000457763671875,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T090000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T090000Z_mask.png,0,0.0003204345703125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T091000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T091000Z_mask.png,0,0.0003204345703125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T092000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T092000Z_mask.png,0,0.000274658203125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T093000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T093000Z_mask.png,0,0.0006866455078125,0,0.0,,
,data/raw/2026-01-31/master/frames/himawari_20260131T094000Z.png,/home/runner/work/himawari-ml/himawari-ml/out/2026-01-31/daily/masks/himawari_20260131T094000Z_mask.png,0,0.0012054443359375,0,0.0,,
